"birthdate","deathdate","gender","label","work","subject_id"
"1882-08-13","1950-04-01","male","G. Jean-Aubry","Musique et les nations	 Vie de Conrad	 La Musique française d'aujourd'hui. Préface de M. Gabriel Fauré	 Eugène Boudin","http://viaf.org/viaf/5740818"
"1922-10-23","2007-01-19","male","Gerhard Bronner","","http://viaf.org/viaf/7625310"
"1862-11-15","1946-06-06","male","Gerhart Hauptmann","Vor Sonnenuntergang	 Fuhrmann Henschel	 Hauptmann, Gerhart	 Der Narr in Christo Emanuel Quint	 Hanneles Himmelfahrt	 Bahnwärter Thiel	 Die Ratten	 Ketzer von soana","http://viaf.org/viaf/71404832"
"1820-01-22","1897-10-31","male","G. B. Cavalcaselle","Early flemish painters notices of their lives and works","http://viaf.org/viaf/38017204"
"1971-04-02","","female","Gwenaëlle Aubry","Personne : roman","http://viaf.org/viaf/15855242"
"1913-07-06","1981-04-13","male","Gwyn Thomas","Alone to the alone	 Dark philosophers	 Love man	 All things betray thee","http://viaf.org/viaf/41856771"
"1875-11-30","1969-11-11","male","Nyozekan Hasegawa","Hasegawa, Nyozekan,	 Educational and cultural background of the Japanese people	 日本的性格","http://viaf.org/viaf/260750180"
"1919-09-15","2010-12-05","female","Heda Margolius Kovály","Nevina.	 Na vlastní kůži","http://viaf.org/viaf/88049891"
"1812-12-03","1883-09-21","male","Hendrik Conscience","Conscience, Hendrik	 Scènes de la vie flamande.	 Gierigaard	 Goudland.	 Wat eene moeder lijden kan door	 Schat van Felix Roobeek.","http://viaf.org/viaf/46807576"
"1853-02-26","1935-10-13","male","Henry C. Vedder","Short history of the baptists","http://viaf.org/viaf/171104405"
"1800-10-18","1886-03-27","male","Henry Taylor","Notes from life in six essays	 Taylor, Henry","http://viaf.org/viaf/64022130"
"1911-12-22","1966-06-10","male","Henry Treece","Crusades	 Viking's dawn	 Electra	 Last of the vikings	 Oedipus	 Dream-time","http://viaf.org/viaf/7759774"
"1949-09-01","","male","Hew Strachan","Carl von Clausewitz's On war : a biography	 Strachan, Hew.	 European armies and the conduct of war","http://viaf.org/viaf/143910"
"1882-01-14","1972-03-29","male","Ivan Ohijenko","I︠A︡k povodytysʹ v Boz︠h︡omu khrami.	 Ilarion,	 Biblioteka ridnoï movy","http://viaf.org/viaf/97084993"
"1904-06-01","1998-10-12","female","Ineko Sata","Works.	 くれない	 Juei","http://viaf.org/viaf/32147747"
"1935-09-29","","female","Ingrid Noll","Kuckuckskind : Roman	 Selige Witwen : Roman	 Noll, Ingrid	 Ladylike : Roman	 Kalt ist der Abendhauch : Roman	 Die Apothekerin	 Röslein rot	 Ehrenwort roman	 Rabenbrüder : Roman	 Die Haupter Meiner Lieben","http://viaf.org/viaf/56669128"
"1911-12-07","2004-06-15","male","J. Gwyn Griffiths","Origins of Osiris","http://viaf.org/viaf/55219"
"1912-05-15","2002-01-01","male","Jagjit Singh","Great ideas of operations research	 Great ideas in information theory, language and cybernetics	 Great ideas and theories of modern cosmology","http://viaf.org/viaf/22573262"
"1715-07-25","1744-07-14","male","Immanuel Jakob Pyra","Pyra, Immanuel Jakob","http://viaf.org/viaf/24762017"
"1944-12-21","","male","James Sallis","Black hornet	 Drive	 Salt River	 Death will have your eyes : a novel about spies	 Cripple Creek : a novel	 Killer is dying	 Cypress Grove	 Eye of the cricket : a Lew Griffin novel	 Bluebottle : a Lew Griffin novel	 Difficult lives : Jim Thompson, David Goodis, Chester Himes","http://viaf.org/viaf/115035937"
"1957-03-06","","male","John Barton","Poems	 West of darkness.","http://viaf.org/viaf/94378466"
"1920-08-04","1999-03-05","male","John J. Figueroa","","http://viaf.org/viaf/64137788"
"1933-02-09","2009-04-24","male","John Michell","New view over atlantis	 Eccentric lives and peculiar notions	 Earth spirit : its ways, shrines, and mysteries	 At the center of the world	 Who wrote Shakespeare?","http://viaf.org/viaf/37037818"
"1927-07-22","1986-02-16","male","John Tripp","","http://viaf.org/viaf/79406089"
"1940-05-24","1996-01-28","male","Iosif Brodskiĭ","Rimskie ėlegii	 Brodski, Josif	 On Grief and Reason	 Mramor	 Watermark	 Остановка в пустыне	 Poems.	 Less than one.","http://viaf.org/viaf/31993687"
"1929-09-30","","male","Kjell Askildsen","Hverdag : roman	 Stort øde landskap	 Askildsen, Kjell,	 Omgivelser	 Hundene i Tessaloniki : noveller	 Alt som før	 Thomas F's siste nedtegnelser til almenheten : noveller","http://viaf.org/viaf/84961097"
"1920-03-19","2002-12-24","male","Kjell Aukrust","","http://viaf.org/viaf/79110497"
"1953","","male","Kjell Eriksson","Stenkistan	 Mannen från bergen	 Hand som skälver	 Nattens grymma stjärnor	 Prinsessan av Burundi	 Öppen grav	 Jorden må rämna	 Svarta lögner, rött blod	 Nattskärran","http://viaf.org/viaf/42145786"
"1930-03-05","2010-05-14","male","Kjell Fjørtoft","","http://viaf.org/viaf/19715153"
"1934-11-05","2004-05-06","male","Louis Masterson","Dødes dag	 Høyt spill i New Orleans	 Drep for loven	 Satans Kane!	 Helvete under null	 Ærens vej	 Møte i Tascosa	 Vejen til Yuma	 Dommedag i Skagway","http://viaf.org/viaf/25410958"
"1961-08-06","","male","Kjell Anders Westö","Sprickor	 Drakarna över Helsingfors	 Lugna favoriter : berättelser i urval 1989-2004	 Där vi en gång gått : en roman om en stad och om vår vilja att bli högre än gräset	 Lang	 Utslag och andra noveller	 Vådan av att vara Skrake	 Svavelgula himlen : roman	 Gå inte ensam ut i natten : roman	 Hägring 38 : roman","http://viaf.org/viaf/73897805"
"1975-03-22","","female","Kristin Valla","Muskat roman","http://viaf.org/viaf/20609009"
"1910","1998-04-04","female","Kate Bosse Griffiths","","http://viaf.org/viaf/19971254"
"1925-05-18","1998-07-17","female","Lillian Hoban","Birthday for frances	 Stick-in-the-mud turtle	 Mr Pig and Sonny too	 Arthur's honey bear	 Tom and the two handles	 Sugar snow spring","http://viaf.org/viaf/73972883"
"1881-08-06","1972-12-09","female","Louella O. Parsons","","http://viaf.org/viaf/17355395"
"1901-04-18","1975-03-03","male","László Németh","Iszony	 Gyasz	 Németh, László,","http://viaf.org/viaf/64020064"
"1765-09-15","1805-12-21","male","Manuel María Barbosa du Bocage","Poesía	 Poems.	 Bocage","http://viaf.org/viaf/66536132"
"1869-05-08","1939-05-23","female","Margarete Böhme","Böhme, Margarete	 W.A.G.M.U.S.","http://viaf.org/viaf/77118114"
"1373","1439","female","Margery Kempe","Book of Margery Kempe","http://viaf.org/viaf/90629402"
"1920-09-14","2009-05-17","male","Mario Benedetti","Borra del cafe	 Pedro Y El Capitan	 Poemas de la oficina	 Con y sin nostalgia	 La Tregua	 Benedetti, Mario	 Primavera con una esquina rota	 Montevideanos	 Cuentos","http://viaf.org/viaf/56585930"
"1922","2015-12-12","female","Marion Mainwaring","Murder in pastiche, or, Nine detectives all at sea	 Buccaneers	 Murder at midyears","http://viaf.org/viaf/51819225"
"1971-07-26","","female","Marita Liabø","","http://viaf.org/viaf/42056872"
"1897-10-22","1958-08-29","female","Marjorie Flack","Angus lost	 Story of ping	 Angus and the ducks	 Walter, the lazy mouse	 Ask Mr. Bear","http://viaf.org/viaf/32119557"
"1937-08-31","","male","Mark Kharitonov","Sposob sushchestvovanii︠a︡	 Provint︠s︡ialʹnai︠a︡ filosofii︠a︡ : povestʹ	 Ėti︠u︡d o maskakh : povesti i rasskazy	 Denʹ v fevrale : povesti","http://viaf.org/viaf/12394928"
"1860-10-01","1938-05-22","female","Mary Eileen Ahern","","http://viaf.org/viaf/23785791"
"1922-08-11","2014-02-18","female","Mavis Gallant","Fairly good time	 My heart is broken	 Home Truths	 From The Fifteenth District	 Overhead in a balloon.	 Paris notebooks	 In transit	 Short stories.	 Across the bridge : stories	 Green water, green sky","http://viaf.org/viaf/92466956"
"1829-06-18","1872-04-20","male","Max Friedlaender","","http://viaf.org/viaf/102336144"
"1912-05-03","1995-07-16","female","May Sarton","Mrs. Stevens hears the mermaids singing : a novel	 After the stroke : a journal	 Journal of a solitude	 As we are now.	 Fur person	 Bridge of years	 Sarton, May,	 Joanna and Ulysses	 Reckoning","http://viaf.org/viaf/64013927"
"1821-03-12","1882-06-30","male","Medo Pucić","","http://viaf.org/viaf/78741343"
"1970-11-22","","male","Michael Arndt","","http://viaf.org/viaf/74163877"
"1939-11-16","","male","Michael Billington","Performing arts : a guide to practice and appreciation","http://viaf.org/viaf/59175005"
"1978-04-28","","male","Michael Byrne","Lottery boy","http://viaf.org/viaf/279420389"
"1907-04-25","1991-09-13","male","Michael Harrison","Harrison, Michael,	 Fire from heaven	 Count Cagliostro : ""Nature's Unfortunate Child.""","http://viaf.org/viaf/100327936"
"1927-01-13","","male","Michel Vinaver","Vinaver, Michel (1927-...).	 La Demande d'emploi	 Huissiers.	 Aujourd'hui, ou, Les Coréens	 Travaux et les jours	 Vinaver, Michel (1927-....) .	 Vinaver	 Theatre complet	 Iphigénie hôtel	 Ordinaire : pièce en sept morceaux","http://viaf.org/viaf/44306514"
"1895-08-09","1958-07-22","male","Mikhail Mikhailovich Zoshchenko","Nervniye lyudi.	 Zoshchenko, Mikhail,	 Rasskazy o Lenine	 Uvazhaemye grazhdane : i︠u︡moristicheskīe rasskazy	 Veseloe prikli︠u︡chenie	 Сентиментальные повести","http://viaf.org/viaf/44718"
"1802","1874-12-10","male","Mir Babbar ʿAlī Anīs","Jab qaṣd kiyā nahr kā saqqā-yi ḥaram ne	 Anis, Mir Babbar Ali,","http://viaf.org/viaf/7607927"
"1971-07-23","","male","Mohsin Hamid","Reluctant fundamentalist	 Hamid, Mohsin	 Discontent and its civilizations	 How to Get Filthy Rich in Rising Asia	 Exit west","http://viaf.org/viaf/12483166"
"1939-03-01","","male","Mustanṣir Ḥusain Tāraṛ","Ae g̲h̲azāl-i shab	 Tāraṛ, Mustanṣir Ḥusain.	 Pakheru","http://viaf.org/viaf/216069331"
"1936-01-01","1987-08-29","male","Nadžī <<al->>ʿAlī","Child in palestine : the cartoons of naji al-ali","http://viaf.org/viaf/40183853"
"1932-04-24","","female","Nancy Bogen","","http://viaf.org/viaf/8683217"
"1947-10-25","","male","Nathaniel Mackey","Mackey, Nathaniel,","http://viaf.org/viaf/46782756"
"1964","","male","Neil Smith","Bang crunch","http://viaf.org/viaf/20006142"
"1900-08-25","1963-03-21","male","Newton Arvin","American pantheon","http://viaf.org/viaf/34596746"
"1966-01-01","","male","Niall Griffiths","Sheepshagger	 Runt	 Stump","http://viaf.org/viaf/12518497"
"1929-04-17","2007-01-24","male","Nikola Milošević","Kutija od orahovog drveta	 Dostojevski kao mislilac	 Marksizam i jezuitizam","http://viaf.org/viaf/5340300"
"1873-05-03","1942-05-20","female","Nini Roll Anker","Roll Anker, Nicoline (1873-1942).	 Prisopgaven	 Kvinnen og den svarte fuglen	 Enken	 Under skraataket	 Som henger i en tråd	 Svake kjøn	 Fru Castrups datter","http://viaf.org/viaf/14953703"
"1925-09-16","2007-09-24","male","Odón Betanzos Palacios","Obra selecta	 Betanzos Palacios, Odón,","http://viaf.org/viaf/79184835"
"1928-10-02","2010-09-24","male","Oswalt Kolle","Ich liebe Dich, ich hasse Dich	 Sexualitat '70	 Dein Mann, das unbekannte Wesen","http://viaf.org/viaf/27954051"
"1963-03-29","","male","Padraic Kenney","Kenney, Padraic	 Burdens of freedom : eastern europe since 1989	 Carnival of revolution : central europe 1989","http://viaf.org/viaf/97954473"
"1938-03-03","","female","Patricia MacLachlan","Tomorrow's wizard	 MacLachlan, Patricia.	 Baby	 Arthur, for the very first time	 Through Grandpa's eyes	 Journey	 Skylark	 Sarah, plain and tall	 Facts and fictions of minna pratt	 Seven kisses in a row","http://viaf.org/viaf/20492795"
"1869-07-29","1956-07-19","male","Paul Carl Albert Rohrbach","Bagdadbahn	 Krieg und die deutsche politik	 Rohrbach, Paul,","http://viaf.org/viaf/9968622"
"1962-01-01","","male","Paul Schneider","","http://viaf.org/viaf/76634332"
"1923-08-04","2008-10-13","male","Paul Schneider","","http://viaf.org/viaf/187313639"
"1818-11-06","1883-02-13","male","Pavel Ivanovič Melʹnikov","Melʹnikov, P. I.	 Starye gody	 V lesakh","http://viaf.org/viaf/73967483"
"1937-10-27","2016-02-23","male","Peter Lustig","Wie funktioniert ein Auto?","http://viaf.org/viaf/32581092"
"1940-12-05","","male","Peter Pohl","Men jag glömmer dig inte	 Man kan inte säga allt	 Vi kallar honom Anna	 Medan regnbågen bleknar	 Jag är kvar hos er	 Regnbågen har bara åtta färger	 Malins kung Gurra	 Janne, min vän	 Jag saknar dig, jag saknar dig!	 Anton, jag gillar dig!","http://viaf.org/viaf/90720389"
"1945-02-19","","male","Pierre Ouellette","Third pandemic : a novel	 Deus machine : a novel","http://viaf.org/viaf/32105209"
"1923","2002-06-27","male","Bo Qu","Lin hai xue yuan.	 Rong e bei.	 戎萼碑","http://viaf.org/viaf/109358978"
"340","-278","male","Yuan Qu","","http://viaf.org/viaf/89665491"
"1825-06-09","1900-01-20","male","Richard Doddridge Blackmore","Lorna Doone	 Student notes","http://viaf.org/viaf/59105182"
"1921-05-23","","male","Ray Lawler","Summer of the seventeenth doll","http://viaf.org/viaf/85450118"
"1936-11-30","","male","Raz̤ā ʻAlī ʻĀbidī","","http://viaf.org/viaf/74034808"
"1947-06-03","","male","Richard Burgin","Man without memory	 Conversations with Jorge Luis Borges	 Conversations with Isaac Bashevis Singer","http://viaf.org/viaf/19696490"
"1573","1659","male","Richard Johnson","Tom a Lincoln	 Johnson, Richard,","http://viaf.org/viaf/22209940"
"1914-09-15","2003-06-30","male","Robert McCloskey","Homer Price	 Lentil	 Make way for ducklings	 Blueberries for Sal	 Time of wonder	 Burt Dow, deep-water man : a tale of the sea in the classic tradition	 One morning in Maine","http://viaf.org/viaf/14840715"
"1879-04-20","1949-10-06","male","Robert Lynd","","http://viaf.org/viaf/40178680"
"1886","1937","male","Roland Everett Jayne","","http://viaf.org/viaf/168069289"
"1940-04-16","1975-04-23","male","Rolf Dieter Brinkmann","Brinkmann, Rolf Dieter	 Rolltreppen im August	 Erkundungen für die Präzisierung des Gefühls für einen Aufstand	 Westwärts 1 & 1","http://viaf.org/viaf/100271235"
"1930-02-17","2015-05-02","female","Ruth Rendell","A judgement in stone	 Simisola	 Not in the flesh	 Talking to strange men	 Shake hands forever	 Road rage	 From Doon with death	 Kissing the gunner's daughter	 Sleeping life	 Harm done","http://viaf.org/viaf/120719476"
"1878-01-29","1933-03-18","male","Sakuzō Yoshino","Lectures.","http://viaf.org/viaf/23495323"
"1912-02-25","2008-04-08","male","Seaman Jacobs","","http://viaf.org/viaf/120715559"
"1858-11-20","1940-03-16","","Selma Lagerlöf","Lagerlöf, Selma (1858-1940).	 Herrgårdssägen	 Gösta Berlings saga	 Nils Holgerssons underbara resa	 Jerusalem	 Körkarlen	 Lagerlöf, Selma","http://viaf.org/viaf/7392519"
"1877-08-10","1949-12-18","male","Sem Benelli","Benelli, Sem,	 Mantellaccio","http://viaf.org/viaf/59397266"
"1962-07-13","","male","Sheldon Brown","","http://viaf.org/viaf/96541789"
"1960-02-04","2007-08-21","female","Siobhan Dowd","Dowd, Siobhan.	 Swift pure cry","http://viaf.org/viaf/79557464"
"1968","","male","Suli McCullough","","http://viaf.org/viaf/41096132"
"1943-10-21","","male","Tariq Ali","Stone woman	 Sultan in palermo	 Clash of fundamentalisms.	 Nehrus and the Gandhis	 Shadows of the pomegranate tree	 Fear of mirrors	 Night of the golden butterfly	 Ali, Tariq.	 Book of saladin	 Trotsky for beginners","http://viaf.org/viaf/108230214"
"1799-02-04","1859-02-27","male","Thomas K. Hervey","Australia.","http://viaf.org/viaf/25028752"
"1953-04-24","","male","Tony Rothman","Physicist on madison avenue","http://viaf.org/viaf/59057871"
"1884-04-25","1945-04-16","female","Toshiko Tamura","Works.	 Tamura, Toshiko,","http://viaf.org/viaf/75224497"
"1866-12-05","1896-04-17","male","Traian Demetrescu","","http://viaf.org/viaf/32126353"
"1958-04-03","2014-07-08","female","Vanna Bonta","","http://viaf.org/viaf/62891319"
"1848-12-24","1936-09-18","male","V.I. Nemirovič-Dančenko","God voĭny	 Aleko	 Iz prošlogo","http://viaf.org/viaf/100311980"
"1912-03-02","1997-07-12","male","Vinko Nikolic","Nikolić, Vinko.	 Moj grad","http://viaf.org/viaf/34486605"
"1934-04-27","1994-09-10","male","Vito Nikolić","","http://viaf.org/viaf/55984140"
"1840-02-11","1895-01-18","male","Vsevolod Vladimirovič Krestovskij","Krestovskīĭ, Vs. Vl.	 Tʹma egipetskai︠a︡ : roman	 Peterburgskie trushchoby","http://viaf.org/viaf/28624922"
"1866-02-28","1949-07-16","male","Vjačeslav I. Ivanov","Mladenčestvo	 Čelověk	 Ivanov, Vjačeslav I.	 Durchsichtigkeit	 Ivanov, V. I.	 Povestʹ o Svetomire T︠S︡areviche	 Perepiska iz dvuh uglov","http://viaf.org/viaf/68930563"
"1756-09-07","1831-12-18","male","Willem Bilderdijk","Bilderdijk, Willem	 Kort verhaal van eene aanmerkelijke luchtreis","http://viaf.org/viaf/14882166"
"1929","1997-01-01","male","William Craig","Fall of japan	 Enemy at the gates	 Enemy at the gates; the battle for Stalingrad","http://viaf.org/viaf/110411507"
"1949-09-04","","male","Yann Queffélec","Prends Garde Au Loup	 Et La Force Daimer	 Disparue Dans La Nuit	 Menace	 Osmose : roman	 Les noces barbares	 Femme sous l'horizon : roman	 Maître des chimères","http://viaf.org/viaf/32001835"
"1975-10-25","","female","Zadie Smith","On beauty	 Feel Free	 Swing time	 Burned children of america	 Changing my mind : occasional essays	 Book of other people	 Autograph man	 Embassy of cambodia	 White teeth.	 NW","http://viaf.org/viaf/14951645"
"","","","Adelina Gurrea","","http://viaf.org/viaf/94966714"
"147-11-27","189","male","Publius Älius Aristides","Aristides, Aelius.","http://viaf.org/viaf/293550714"
"1883-01-10","1945-02-23","male","Aleksey Nikolayevich Tolstoy","Russkie narodnye skazki	 Tołstoj, Aleksiej	 Tolstoy, Aleksey Nikolayevich,	 Detstvo Nikity	 Aèlita	 Ėmigranty	 Ibicus ou Les aventures de Nevzorov	 Gigantic turnip	 Khozhdenie po mukam	 Пётр Первый; роман","http://viaf.org/viaf/98681641"
"1904-03-22","1941-10-29","male","Aleksandr Nikolaevič Afinogenov","Afinogenov, Aleksandr Nikolaevič	 Dalekoe	 Strakh","http://viaf.org/viaf/74664241"
"1965-04-14","","male","Alexandre Jardín","Mademoiselle liberté : roman	 Zubial	 L'île des gauchers	 Zèbre	 Bille en tête	 Autobiographie d'un amour	 Chaque femme est un roman : roman	 Roman des jardin	 Fanfan	 Des gens très bien","http://viaf.org/viaf/85428212"
"1852","1912-01-01","male","Alfred Masson-Forestier","Joueur	 Remords d'avocat	 Attaque nocturne; pièce en deux actes","http://viaf.org/viaf/84073522"
"1952-09-25","","male","Allan Cameron","Works.	 Poems.	 Cameron, Allan,","http://viaf.org/viaf/268180387"
"1830-02-10","1901-05-09","male","Andreas Aabel","","http://viaf.org/viaf/229230367"
"1885-04-29","1971-11-25","male","Andrew Young","Young, Andrew,	 Poetic jesus","http://viaf.org/viaf/17232073"
"1939-01-10","","male","André-Pierre Nouvion","","http://viaf.org/viaf/255661373"
"1845-07-16","1928-07-29","female","Anne Hollingsworth Wharton","","http://viaf.org/viaf/34610365"
"1882-02-06","1975-07-27","female","Anne Spencer","","http://viaf.org/viaf/30443136"
"1942-05-24","","male","Anthony Hill","Burnt stick	 Forbidden","http://viaf.org/viaf/42079451"
"1927-09-04","2000-02-11","male","Bernardino Zapponi","Roma	 Casanova	 Città delle donne","http://viaf.org/viaf/51811919"
"1891-06-29","1985-12-24","male","Biagio Marin","Canti de l'isola.	 Il libro di Gesky	 Isola d'oro","http://viaf.org/viaf/9919182"
"1932-06-02","","male","Brian Clark","Telford's change	 Clark, Brian,","http://viaf.org/viaf/113154989"
"1966-07-14","","male","Brian Selznick","Invention of hugo cabret	 When Marian sang the true recital of Marian Anderson : the voice of a century	 Houdini box	 Marvels	 Selznick, Brian.	 School story","http://viaf.org/viaf/85850606"
"1849-03-27","1910-11-16","male","Alberto Pisani Dossi","Dossi, Carlo,	 Desinenza in a	 Note azzurre	 Amori	 Altrieri	 Vita di Alberto Pisani","http://viaf.org/viaf/24616377"
"1957-08-16","","female","Carol Plum-Ucci","Body of christopher creed","http://viaf.org/viaf/33792993"
"1964","","male","Charles Peterson","","http://viaf.org/viaf/6644782"
"1909-07-29","1984-11-12","male","Chester Himes","Yesterday will make you cry	 Pinktoes	 Hot day, hot night : (formerly Blind man with a pistol)	 Cotton comes to Harlem	 If he hollers let him go	 Big gold dream	 Himes, Chester B.,	 Run man run	 Heat's on	 Lonely crusade","http://viaf.org/viaf/108585658"
"1929-03-18","2011-12-01","female","Christa Wolf","Nachdenken über Christa T	 Medea : Stimmen : Roman	 Kassandra	 Sommerstück	 Wolf, Christa.	 Storfall	 Wolf, Christa	 Der Geteilte Himmel	 Was bleibt	 Kein Ort. Nirgends","http://viaf.org/viaf/109289723"
"1951-04-24","","male","Christian Bobin","Autoportrait au radiateur	 Très-bas	 Isabelle Bruges : récit	 Ruines du ciel	 Geai	 Folle allure	 Petite robe de fête	 Eloge du rien	 Inespérée	 Femme à venir : récit","http://viaf.org/viaf/39374022"
"1975-02-27","","male","Christopher B. Landon","","http://viaf.org/viaf/32482725"
"1958-02-15","","female","Chrystine Brouillet","Montagne noire	 Chevaux enchantés	 Mystères de Chine	 Nouvelle France : roman	 Collectionneur	 Marie Laflamme	 Crime audacieux	 Corbeau	 Chère voisine	 Enquête de Maud Graham","http://viaf.org/viaf/85315011"
"1885-11-14","1941-03-29","female","Constance Mayfield Rourke","Audubon	 Roots of american culture and other essays	 American humor : a study of the national character","http://viaf.org/viaf/3353177"
"1956-01-07","","female","Cris Mazza","","http://viaf.org/viaf/57558063"
"1914-02-19","1991-06-23","male","Cyril Aldred","Egypt to the end of the Old Kingdom	 Egyptian art in the days of the pharaohs, 3100-320 BC	 Jewels of the pharaohs	 Empire des conquérants	 Egypte du crepuscule	 Egyptian art	 Akhenaton: pharaoh of Egypt	 Akhenaten","http://viaf.org/viaf/19673156"
"1949-02-23","","male","César Aira","Noches de flores	 Ema, la cautiva	 Fantasmas	 Llanto	 Liebre	 Congreso de literatura	 Aira, César (1949-....).	 Cómo me hice monja	 Curas milagrosas del Doctor Aria.","http://viaf.org/viaf/115982810"
"1944-06-27","","male","Dardano Sacchetti","","http://viaf.org/viaf/59280081"
"1948-10-22","","female","Debbie Macomber","The inn at Rose Harbor	 Macomber, Debbie","http://viaf.org/viaf/79125942"
"1959-08-24","","male","Denis Thériault","Fille qui n'existait pas : roman	 Iguana	 Facteur émotif : roman	 Fiancée du facteur : roman","http://viaf.org/viaf/119537687"
"1947-01-01","","female","Dương-Thu-Hương","Chốn vắng	 Những thiên đừơng mù : tiẻ̂u thuyé̂t	 Memories of a pure spring / translated from de Vietnamese by Nina McPherson and Phan Huy Duong	 Dương, Thu Hương.	 Chuyện tình kẻ̂ trước lúc rạng đông : tập truyện	 Tiẻ̂u thuyé̂t vô đè̂	 Hành trình ngày thơ ấu	 Bên kia bờ ảo vọng","http://viaf.org/viaf/41824399"
"1919-10-15","2010-09-10","male","Edwin Charles Tubb","Tubb, E. C.	 Temple of truth	 Symbol of terra	 Escape into space : science fiction	 Toyman	 Moon base	 Jester at scar	 Coming event	 Lallia","http://viaf.org/viaf/55041395"
"1916-07-27","2007-12-02","female","Elizabeth Hardwick","Seduction and betrayal	 Herman Melville	 Sleepless nights","http://viaf.org/viaf/22261787"
"1923-03-26","2014-01-02","female","Elizabeth Jane Howard","Light years	 Long view	 All change	 Something in disguise	 After Julius	 Marking time	 Getting it right	 Confusion	 Beautiful visit	 Odd girl out","http://viaf.org/viaf/71392362"
"1905-12-06","2001-07-29","female","Elizabeth Yates","Amos Fortune, free man	 With pipe, paddle, and song : a story of the French-Canadian voyageurs	 Yates, Elizabeth,","http://viaf.org/viaf/111906393"
"1866-08-31","1941-02-09","female","Elizabeth Von Arnim","Caravaners	 Christopher and Columbus	 Elizabeth and her German garden	 Adventures of elizabeth in rügen	 Arnim, Mary Annette von	 Love	 Enchanted april	 Christine	 Vera	 Princess priscilla's fortnight","http://viaf.org/viaf/46778576"
"1968-01-27","","male","Emmanuel Aquin","Aventures d'Uve Vavum	 Aventures de Pierre Duremanche	 Série La brigade des Sentinelles","http://viaf.org/viaf/61708398"
"1816-10-04","1887-11-06","male","Eugène Pottier","Internationale	 Chants révolutionnaires	 Pottier, Eugène,","http://viaf.org/viaf/27109936"
"1926-09-24","2010-10-04","male","Frank McMahon","","http://viaf.org/viaf/91683226"
"1903-09-17","1966-03-10","male","Frank O'Connor","Only child	 The big fellow	 O'Connor, Frank	 Lonely voice : a study of the short story	 Short history of Irish literature	 Short stories.	 O'Connor, Frank,	 The mirror in the roadway	 Die Reise nach Dublin.","http://viaf.org/viaf/39396585"
"1787-08-15","1862-10-03","male","F. Sudre","","http://viaf.org/viaf/25378065"
"1932-02-11","2011-04-08","female","FREDA AHENAKEW","Ana kâ-pimwêwêhahk okakêskihkêmowina","http://viaf.org/viaf/5056497"
"1935-09-04","","female","Frid Ingulstad","Nissen den norske nissens forunderlige liv og historie	 Troll	 Skjebnemåne	 Magnus viking","http://viaf.org/viaf/101645575"
"1899-07-02","1965-03-12","male","George Calinescu","Cartea nunții : [roman	 Scrinul negru	 Călinescu, George,	 Enigma Otiliei","http://viaf.org/viaf/24460"
"1939-09-26","","male","George McWhirter","","http://viaf.org/viaf/67609433"
"1892-04-19","1972-02-21","male","Georgij Viktorovič Adamovič","Poems	 Adamovich, Georgiĭ.	 Poems.","http://viaf.org/viaf/54329901"
"1931-07-15","2007-06-24","female","Gillian Baverstock","","http://viaf.org/viaf/65960634"
"1503-06-28","1556-11-14","male","Giovanni Della Casa","Rime	 Della Casa, Giovanni	 De officiis inter potentiores et tenuiores amicos.","http://viaf.org/viaf/71528487"
"1959-12-12","","male","Göran Greider","","http://viaf.org/viaf/117337972"
"1903-11-05","1981-01-10","male","H. Warner Munn","Lost legion","http://viaf.org/viaf/74413437"
"1879-10-20","1946-01-30","male","Kawakami, Hajime","近世經濟思想史論	 Kinsei keizai shisōshi ron	 貧乏物語	 マルクス主義經濟學の基礎理論	 Binbō monogatari","http://viaf.org/viaf/22933447"
"1953-02-19","","male","Hannes Hólmsteinn Gissurarson","","http://viaf.org/viaf/250848255"
"1932-09-29","2006-08-08","male","Henrique Abranches","","http://viaf.org/viaf/80335668"
"1943-09-18","","male","Henry A. Giroux","Zombie politics and culture in the age of casino capitalism	 Teachers as intellectuals : toward a critical pedagogy of learning	 Pedagogy and the politics of hope : theory, culture, and schooling : a critical reader	 Mouse that roared : disney and the end of innocence	 Schooling and the struggle for public life : critical pedagogy in the modern age	 Theory and resistance in education : a pedagogy for the opposition	 Disposable youth, racialized memories, and the culture of cruelty	 Politics of education : culture, power and liberation","http://viaf.org/viaf/37023688"
"1973-09-21","","male","Henry H. Neff","Impyrium	 Hound of rowan	 Neff, Henry H.	 Second siege	 Fiend and the forge","http://viaf.org/viaf/33203804"
"1860","1915","male","Herbert Inman","","http://viaf.org/viaf/257723158"
"1944","1972-06-06","female","Huguette Gaulin","Gaulin, Huguette,","http://viaf.org/viaf/71410205"
"1952","","male","Hector Feliciano","New york	 Feliciano, Hector.","http://viaf.org/viaf/56636710"
"1944-01-01","","male","Ian Robinson","","http://viaf.org/viaf/108373793"
"1939-11-20","","male","Igor Mandić","Sebi pod kožu	 Između dv(ij)e vatre	 ""Zbogom dragi Krleža""","http://viaf.org/viaf/93361065"
